TRAFFIC,,,TOTAL,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#14,#14,#14,#14,#14
,octvid1,6.73%,146,0,0,0,0,0,0,0,0,0,0,30,36,54,23,0,0,3,0,0
,julyvid_borntime,3.96%,86,0,0,0,0,0,19,8,7,12,19,10,2,2,7,0,0,0,0,0
,junead1,3.96%,86,0,0,0,0,0,20,12,9,20,8,5,1,3,8,0,0,0,0,0
,timing_problem1,3.41%,74,6,9,23,5,5,5,4,1,1,0,0,0,1,3,11,0,0,0,0
,timing_problem_vid2,1.82%,72,33,14,6,5,0,0,0,3,2,1,3,0,0,5,0,0,0,0,0
,flyingstar,2.49%,54,0,0,0,0,0,0,0,4,14,17,8,3,3,4,0,0,0,1,1
,vid4_strategy,1.84%,40,11,1,14,1,0,0,0,3,3,0,0,1,0,6,0,0,0,0,0
,ivispic_purplestarastrologycourse,1.84%,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
,june_advid2,1.80%,39,0,0,0,0,0,8,7,5,3,4,3,1,2,6,0,0,0,0,0
,june_advid1,1.66%,36,0,0,0,0,0,9,7,6,2,2,2,2,4,2,0,0,0,0,0
,junead3roadppl,1.66%,36,0,0,0,0,0,6,9,3,5,3,3,0,3,4,0,0,0,0,0
,vid6_timing,1.57%,34,1,16,4,3,0,0,2,2,1,1,0,1,1,2,0,0,0,0,0
,julyadvid3_roadppl,1.43%,31,0,0,0,0,0,11,7,4,1,2,2,0,0,4,0,0,0,0,0
,mayadvid3,1.29%,28,0,0,0,0,0,7,5,1,1,2,3,2,1,6,0,0,0,0,0
,octadvid2guess,1.20%,26,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0
,hk-timingycle,1.20%,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24
,planfortheyear,1.15%,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
,sepvid_sign,1.06%,23,0,0,0,0,0,0,0,0,11,3,6,0,2,1,0,0,0,0,0
,may_advid3,1.01%,22,0,0,0,0,0,0,0,0,0,0,3,13,3,3,0,0,0,0,21
,haveyouever,1.01%,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
,octvid1-aibroadmy,0.69%,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
,julyadvid_ai,0.65%,14,0,0,0,0,0,4,1,0,1,1,0,0,5,2,0,0,0,0,0
,octadvid1,0.65%,14,0,0,0,0,0,0,0,0,0,0,5,1,2,2,0,0,0,1,12
,ivispic-aibroadmy,0.55%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1
,birthdatedecided,0.55%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
,charttoldyou,0.51%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
,julyadpic_cityv1,0.46%,10,0,0,0,0,0,6,1,1,1,1,0,0,0,0,0,0,0,0,0
,timingprob,0.46%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9
,may_advid1,0.41%,9,0,0,0,0,0,2,2,1,1,1,2,0,0,0,0,0,0,0,0
,julyadvid4,0.37%,8,0,0,0,0,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0
,augpic3_1000years,0.37%,8,0,0,0,0,0,0,0,1,2,1,1,0,1,2,0,0,0,0,0
,novvid_name,0.37%,8,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0
,julyvid_borntime-aibroadmy,0.37%,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
,mayadvid4_aimbizowner,0.32%,7,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
,sepvid_mistake,0.32%,7,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,7
,ivispic_pattern,0.32%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,chinastreet,0.32%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,junead2,0.28%,6,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0
,thincae,0.28%,6,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0
,chart-aibroadmy,0.28%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,image-ad-06,0.28%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
,bizstucks,0.28%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
,askyousomething,0.28%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
,augpic2_cure,0.23%,5,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0
,retargeting_2025ends,0.23%,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
,image-ad-05,0.23%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
,video7,0.23%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
,30seconds,0.23%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
,trads,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,junevid2-aibroadmy,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
,nov_vid1_bizstucks,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
,2026janpic2,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
,image-ad-03,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
,vid5_isnt_working,0.14%,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,julyvid_decisionpressure,0.14%,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
,julyadvid2,0.14%,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,augvid2_stock,0.14%,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
,120230301357890095,0.14%,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
,120230301601240095,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,retarget_watchvidb4,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
,2026janpic1,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
,120242638945430728,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,nov_vid2_bo,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,2026janpic4,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
,image-ad-01,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
,julyvid_mro,0.09%,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,mayadvid1,0.09%,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
,julyroadvid,0.09%,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,timing,0.09%,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
,120230301601170095,0.09%,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,120242727338880728,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
,120242639377280728,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
,image-ad-02,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
,hk-timingcycle,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,twopeople,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,may_advid2,0.05%,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,may_advid6,0.05%,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,may_advid4aimbizowner,0.05%,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,120228172632930095,0.05%,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,novvid_period,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,vid7-aibroadmy,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,junevid1-aibroadmy,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,120222282696900227,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,julyroadppl-aibroadmy,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,julygif_info,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,120242727804410728,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,120241888135260581,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,video-ad-01-ugc,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,120241862104620581,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,video-ad-03-cae,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,120238514227090095,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,video-ad-04-cae,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,120238835724930095,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,fourseason,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,26janpic7_2026massivewealthclarity,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"
LEAD 
SOURCE",Missing,45.28%,1795,294,123,95,75,236,148,47,47,53,58,66,29,40,46,74,64,90,118,92
,timing_problem_vid2,1.82%,72,33,14,6,5,0,0,0,3,2,1,3,0,0,5,0,0,0,0,0
,chart,25.82%,560,132,92,79,38,2,2,16,32,17,17,26,5,14,36,5,24,14,0,9
,timing_problem2,12.68%,275,42,9,47,18,7,7,17,32,12,10,10,6,8,21,29,0,0,0,0
,timing_problem1,3.41%,74,6,9,23,5,5,5,4,1,1,0,0,0,1,3,11,0,0,0,0
,vid4_strategy,1.84%,40,11,1,14,1,0,0,0,3,3,0,0,1,0,6,0,0,0,0,0
,vid5_isnt_working,0.14%,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,vid7,38.59%,837,4,47,121,133,137,72,57,40,41,39,32,10,14,59,28,0,0,0,3
,vid6_timing,1.57%,34,1,16,4,3,0,0,2,2,1,1,0,1,1,2,0,0,0,0,0
,junead2,0.28%,6,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0
,julyvid_borntime,3.96%,86,0,0,0,0,0,19,8,7,12,19,10,2,2,7,0,0,0,0,0
,junead1,3.96%,86,0,0,0,0,0,20,12,9,20,8,5,1,3,8,0,0,0,0,0
,julyadvid3_roadppl,1.43%,31,0,0,0,0,0,11,7,4,1,2,2,0,0,4,0,0,0,0,0
,june_advid2,1.80%,39,0,0,0,0,0,8,7,5,3,4,3,1,2,6,0,0,0,0,0
,julyadpic_cityv1,0.46%,10,0,0,0,0,0,6,1,1,1,1,0,0,0,0,0,0,0,0,0
,julyvid_mro,0.09%,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,julyadvid_ai,0.65%,14,0,0,0,0,0,4,1,0,1,1,0,0,5,2,0,0,0,0,0
,julyadvid4,0.37%,8,0,0,0,0,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0
,june_advid1,1.66%,36,0,0,0,0,0,9,7,6,2,2,2,2,4,2,0,0,0,0,0
,mayadvid3,1.29%,28,0,0,0,0,0,7,5,1,1,2,3,2,1,6,0,0,0,0,0
,may_advid2,0.05%,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,mayadvid1,0.09%,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
,mayadvid4_aimbizowner,0.32%,7,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
,junead3roadppl,1.66%,36,0,0,0,0,0,6,9,3,5,3,3,0,3,4,0,0,0,0,0
,julyvid_decisionpressure,0.14%,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
,julyroadvid,0.09%,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,julyadvid2,0.14%,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,may_advid1,0.41%,9,0,0,0,0,0,2,2,1,1,1,2,0,0,0,0,0,0,0,0
,may_advid6,0.05%,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,may_advid4aimbizowner,0.05%,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,timing,0.09%,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
,thincae,0.28%,6,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0
,120228172632930095,0.05%,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,ivispic_free,8.11%,176,0,0,0,0,0,0,0,16,32,51,27,20,11,19,0,0,0,0,0
,augpic3_1000years,0.37%,8,0,0,0,0,0,0,0,1,2,1,1,0,1,2,0,0,0,0,0
,augvid2_stock,0.14%,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
,flyingstar,2.49%,54,0,0,0,0,0,0,0,4,14,17,8,3,3,4,0,0,0,1,0
,sepvid_sign,1.06%,23,0,0,0,0,0,0,0,0,11,3,6,0,2,1,0,0,0,0,0
,120230301357890095,0.14%,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
,augpic2_cure,0.23%,5,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0
,sepvid_mistake,0.32%,7,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0
,octvid1,6.73%,146,0,0,0,0,0,0,0,0,0,0,30,36,54,23,0,0,3,0,0
,may_advid3,1.01%,22,0,0,0,0,0,0,0,0,0,0,3,13,3,3,0,0,0,0,0
,octadvid1,0.65%,14,0,0,0,0,0,0,0,0,0,0,5,1,2,2,0,0,0,1,3
,120230301601170095,0.09%,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,trads,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,120230301601240095,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,retargeting_2025ends,0.23%,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
,octadvid2guess,1.20%,26,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0
,retarget_watchvidb4,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
,novvid_period,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,novvid_name,0.37%,8,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0
,vid7-aibroadmy,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,julyvid_borntime-aibroadmy,0.37%,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
,ivispic-aibroadmy,0.55%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
,octvid1-aibroadmy,0.69%,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
,junevid1-aibroadmy,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,chart-aibroadmy,0.28%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,120222282696900227,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,junevid2-aibroadmy,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
,julyroadppl-aibroadmy,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,julygif_info,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,2026janpic1,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
,nov_vid1_bizstucks,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
,image-ad-06,0.28%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
,image-ad-05,0.23%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
,120242638945430728,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,2026janpic2,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
,120242727804410728,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,120241888135260581,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,video-ad-01-ugc,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,120241862104620581,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,nov_vid2_bo,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,120242727338880728,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
,120242639377280728,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
,video-ad-03-cae,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,image-ad-02,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,image-ad-03,0.18%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
,timingprob,0.46%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
,video7,0.23%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
,2026janpic4,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
,120238514227090095,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,image-ad-01,0.14%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
,video-ad-04-cae,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,ivispic_purplestarastrologycourse,1.84%,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
,bizstucks,0.28%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
,120238835724930095,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,26janpic7_2026massivewealthclarity,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,planfortheyear,1.15%,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
,haveyouever,1.01%,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
,fourseason,0.05%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,charttoldyou,0.51%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
,askyousomething,0.28%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
,birthdatedecided,0.55%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
,hk-timingycle,1.20%,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14
,30seconds,0.23%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
,hk-timingcycle,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,ivispic_pattern,0.32%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,chinastreet,0.32%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,twopeople,0.09%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,nextmovedecides,0.37%,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,personality,0.23%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
